lyrics
" Thank you very much. Thank you. First of all, I really do apologize for swearing. I just... this means... George Michael, I love him, it means a lot to me, so I'm really sorry if I offended anyone anywhere. ; Everyone, this is Greg Kurstin. Give it up for Greg Kurstin. Thank you very much for this award. Thank you to the Academy, thank you to my record labels XL and Sony, thank you to my manager, Jonathan. I always get so nervous... And I'd like to thank Greg, because Greg kept coming to England for me, to work with me. And I was really hard work this record, had a very short attention span, and he would come to me in England so that I didn't have to leave my son, and yet you would leave your son and daughter. So thank you for your patience with me and for helping to create my favorite song I've ever done. So thank you, Greg ;  ; ...Thank you to my mom and dad..."
" Thank you to everybody for your love and kindness, for your honesty and persuasion ; Thank you for telling me how it is but entertaining what I wanted it to be ; Thank you for listening and for letting me into your lives again ; Love Adele xYou might also like5"
 19 ; 2009 ; ​iTunes Live From Soho EP ; 2011 ; 21 ; ​iTunes Festival London 2011: EP ; 2015 ; 25
" ""Chasing Pavements"" ; 2011 ; ""Turning Tables"" ; ""Rolling In The Deep"" ; ""Someone Like You"" ; 2012 ; ""Set Fire To The Rain"" ; ""Rumour Has It"" ; ""Skyfall"" ; 2015 ; ""Hello"" ; ""Remedy"" ; 2016 ; ""When We Were Young"" ; ""All I Ask"" ; ""Send My Love (To Your New Lover)"" ; 2017 ; ""Water Under The Bridge"" ; 2021 ; ""Easy On Me""2"
" I will leave my heart at the door ; I won't say a word ; They've all been said before, you know ; So why don't we just play pretend ; Like we're not scared of what is coming next ; Or scared of having nothing left? ;  ; Look, don't get me wrong ; I know there is no tomorrow ; All I ask is ; If this is my last night with you ; Hold me like I'm more than just a friend ; Give me a memory I can use ; Take me by the hand while we do ; What lovers do ; It matters how this ends ; 'Cause what if I never love again? ;  ; I don't need your honesty ; It's already in your eyes ; And I'm sure my eyes, they speak for me ; No one knows me like you do ; And since you're the only one that mattered ; Tell me, who do I run to? ;  ; Look, don't get me wrong ; I know there is no tomorrow ; All I ask is ;  ; If this is my last night with you ; Hold me like I'm more than just a friend ; Give me a memory I can use ; Take me by the hand while we do ; What lovers do ; It matters how this ends ; 'Cause what if I never love again? ; You might also like ; Let this be our lesson in love ; Let this be the way we remember us ; I don't want to be cruel or vicious ; And I ain't asking for forgiveness ; All I ask is ;  ; If this is my last night with you ; Hold me like I'm more than just a friend ; Give me a memory I can use ; Take me by the hand while we do ; What lovers do ; It matters how this ends ; 'Cause what if I never love again?44"
" I know you've got things to do (I do, too) ; I just wanna spend all my time with you (It feels so good) ; I'm so hard to impress, don't leave me on this stretch alone ; When I'm out at a party, I'm just excited to get home ;  ; And dream about you ; All night long ;  ; I don't know how you got through to me (I'm so cold) ; It's all happenin' so easily (Like, oh, my God) ; It's so hard to digest, usually, I'm best alone ; But every time that you text, I want to get on the next flight home ; And dream next to you ; All night long ;  ; Maybe it's the way you remind me of (Where I come from) ; Or how you make me feel beautiful (And thеn some) ; The sight of you is dramatic, one glimpsе and I panic inside ; I get lost in our hours 'cause you possess powers I can't fight ;  ; That's why I dream about you ; All night long ; All night long ; All nightYou might also like9"
" Do you think of me when you lay with her? ; Do you wonder who we'd be, or even who we were? ; Does she know where you sleep when you're holding me? ; In the heart of the city, is it really what it seems to be? ;  ; You're not just another love ; I get sick and tired of ; Spinning in your circles ; Always brings me back to you ; Make me feel like growing up ; I can't ever get enough ; Of spinning in your circles ; You're not another love (Another, oh, anothеr) ; Not another love (Another, oh, anothеr) ; Not another love (Another, oh, another) ; Not another love (Another, oh, another) ;  ; Do you think of me when you lay with her? ; Do you wonder who we'd be or even who we were? ; Does she know where you sleep when you're holding me? ; In the heart of the city, is it really what it seems to be? ;  ; You're not just another love ; I get sick and tired of ; Spinning in your circles ; Always brings me back to you ; Make me feel like growing up ; I can't ever get enough ; Of spinning in your circles ;  ; You're not another love (Another, oh, another) ; You're not another love (Another, oh, another) ; You're not another love (Another, oh, another) ; You're not another love (Another, oh, another) ; You're not another love (Another, oh, another) ; Not another love (Another, oh, another) ; Not another love (Another, oh, another) ; Not another love (Another, oh, another) ; You might also like ; You're not another love (Another, oh, another) ; You're not another love (Another, oh, another) ; You're not another love (Another, oh, another) ; You're not another love (Another, oh, another) ; You're not another love (Another, oh, another) ; Not another love (Another, oh, another) ; Not another love (Another, oh, another) ; Not another love (Another, oh, another) ; You're not another love (Another, oh, another) ; You're not another love (Another, oh, another) ; You're not another love (Another, oh, another) ; You're not another love (Another, oh, another) ; You're not another love (Another, oh, another) ; Not another love (Another, oh, another) ; Not another love (Another, oh, another) ; Not another love (Another, oh, another)1"
" Got a bed wit' your name on it ; Wit' your name on it ; Got a kiss wit' your name on it ; Wit' your name on it ;  ; Thousand dollar sheets ; Waitin' for you on some thousand dollar sheets ; I got Carter III on repeat ; Back shots to the beat of ""A Milli"" on you ; Got me acting like you got a milli on you ; He say I'm the GOAT, yeah, the billy on you ; I could make all your dreams come true ; Wanna fall through, then you better come through ; But don't make me wait until the morning ;  ; Got a bed wit' your name on it ; Wit' your name on it ; Got a kiss wit' your name on it ; Wit' your name on it ; Love me good, love me down ; Don't turn me down ; Got a bed wit' your name on it ; Wit' your name on it ;  ; Strawberry lingеrie ; Waitin' for you, strawberries, lingеrie ; You told me you on the way ; Mess around, mess around, put it down on you ; I'ma do everything I said I'm gon' do ; Pretty little body, it look better on you ; Might have to blow it like a feather on you ; Waterfalls, ooh, yeah, you better come through ;  ; But don't make me wait until the morning ; You might also like ; Got a bed wit' your name on it ; Wit' your name on it ; Got a kiss wit' your name on it ; Wit' your name on it ; Love me good, love me down ; Don't turn me down ; Got a bed wit' your name on it (Oh, yeah) ; Wit' your name on it (On it) ;  ; O-on, on it (On it) ; O-on, on it ; O-on, on it ; O-on, on it (But I put your name on it) ;  ; Yo, he in my startin' five, he get his city live ; These niggas scared, they doing 50 in a 55 ; I'm tryna clap him like somebody told him, ""Gimme five"" ; I'ma be a half an hour, but I told him, ""Gimme five"" ; I'm tryna dance on him, blow my advance on 'em ; I like him better when he got some sweatpants on him ; I like his hang time, he said his head right ; I said go all the way down and then head right ; I watch him fuck it up, look at him luckin' up ; I said, ""You need some thick skin, baby, suck it up"" ; He go insane on it, I put my fame on it ; Coulda put ZAYN on it, but I put your name on it ; I got a bed wit' your name on it ; Wit' your name on it ; Got a kiss wit' your name on it ; Wit' your name on it, yeah ; Love me good, love me down ; Don't turn me down (Turn it down, baby) ; Got a bed wit' your name on it (Your name) ; Wit' your name on it"
" It's in my ; It's in my ; It's in my ; It's in my ; It's in my ; It's in my ;  ; Set me free ; I'm so free, baby ; Take a journey into your mind ; Leave your luggage behind ; Set me free ; I'm so free, baby ; Take a journey into your mind ; Open up, come be divine ; It's in my face ; It's all over my face ; Gave it all away ; Soul transparent ; I'm living in a state of grace ; Set me free ; We all wanna be free ; Be where we want to be ; This is the place ; I'm living in a state grace ;  ; It's in my ; It's in my ; It's in my ; It's in my face ; It's in my ; No, no ; No, no ; No, no ; No, no ; It's in my ; No, no ; No, no ; No, no ; Ooh, ooh ; All wanna be free ; All wanna be free ; All wanna be free ; Open up, come be divine ; You might also like ; Yeah, oh ooh ; All wanna be free ; Ooh, ooh ; Open up, come be divine ; All wanna be free ; Yeah, oh ooh ; All wanna be free ; Yeah, oh ooh ; All wanna be free"
" Set me free ; Set me free ;  ; Set me free ; It's in my face ; It's all over my face ; Living in a state of grace ;  ; I want it ; Be where we want to ; This is the place ; I'm so divine ; Set me free ; Set me free ; Ooh ; All wanna be free ; All wanna be free ; Set me free ; All wanna be free ; Set me free ; All wanna be free ; Open up, come be divine ; Set me free ; Set me free ; Set me ; Open up, come be divine ;  ; Set me (Divine) ; Set me (Divine) ; Set me ; Set me ; Set me ; Set me ; Set me freeYou might also like"
